variant_test_data,cal_test,run,class,n_cov,n_val,coverage,n_cal_cls,n_test_cls,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,0,13955,15265,0.9141827710448739,35,355,0.6465618423546657
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,1,317,1075,0.2948837209302326,7,25,0.00020622025883797556
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,0,13649,15222,0.8966627250032847,36,354,0.481990805542307
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,1,445,1118,0.39803220035778175,6,26,0.004090375197147658
_blurred_SD1,baseline3T-cal_dv1.5T-test,2,0,13581,15265,0.8896822797248608,37,355,0.40579759886568667
_blurred_SD1,baseline3T-cal_dv1.5T-test,2,1,332,1075,0.30883720930232555,5,25,0.0028980958832444956
_blurred_SD1,baseline3T-cal_dv1.5T-test,3,0,13385,15308,0.8743794094591063,34,356,0.3671171616887863
_blurred_SD1,baseline3T-cal_dv1.5T-test,3,1,320,1032,0.31007751937984496,8,24,9.227520778673902e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,4,0,12665,15179,0.8343764411357797,38,353,0.1053524956772156
_blurred_SD1,baseline3T-cal_dv1.5T-test,4,1,356,1161,0.3066322136089578,4,27,0.009013292055711655
_blurred_SD1,baseline3T-cal_dv1.5T-test,5,0,12374,15265,0.8106125122830004,36,355,0.07058531379047656
_blurred_SD1,baseline3T-cal_dv1.5T-test,5,1,421,1075,0.3916279069767442,6,25,0.003718154649923502
_blurred_SD1,baseline3T-cal_dv1.5T-test,6,0,12504,15136,0.8261099365750528,38,352,0.08391887219491316
_blurred_SD1,baseline3T-cal_dv1.5T-test,6,1,483,1204,0.4011627906976744,4,28,0.026220669207993052
_blurred_SD1,baseline3T-cal_dv1.5T-test,7,0,13653,15222,0.8969255025620811,38,354,0.4401686283105797
_blurred_SD1,baseline3T-cal_dv1.5T-test,7,1,475,1118,0.42486583184257604,4,26,0.032979355416061916
_blurred_SD1,baseline3T-cal_dv1.5T-test,8,0,13355,15222,0.8773485744317435,36,354,0.34097090084594367
_blurred_SD1,baseline3T-cal_dv1.5T-test,8,1,372,1118,0.33273703041144903,6,26,0.0014087698566792534
_blurred_SD1,baseline3T-cal_dv1.5T-test,9,0,13287,15265,0.8704225352112676,36,355,0.2971917873952064
_blurred_SD1,baseline3T-cal_dv1.5T-test,9,1,367,1075,0.3413953488372093,6,25,0.0016435539354115397
_blurred_SD1,baseline3T-cal_dv1.5T-test,10,0,12880,15222,0.8461437393246617,36,354,0.1745755821658965
_blurred_SD1,baseline3T-cal_dv1.5T-test,10,1,422,1118,0.3774597495527728,6,26,0.0029825226531452757
_blurred_SD1,baseline3T-cal_dv1.5T-test,11,0,13439,15265,0.8803799541434655,36,355,0.3613341951800298
_blurred_SD1,baseline3T-cal_dv1.5T-test,11,1,421,1075,0.3916279069767442,6,25,0.003718154649923502
_blurred_SD1,baseline3T-cal_dv1.5T-test,12,0,12700,15222,0.8343187491788201,36,354,0.13121945277439548
_blurred_SD1,baseline3T-cal_dv1.5T-test,12,1,444,1118,0.39713774597495527,6,26,0.004035957788759908
_blurred_SD1,baseline3T-cal_dv1.5T-test,13,0,13751,15394,0.8932701052358062,36,358,0.4554385789510278
