variant_test_data,cal_test,statistic,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,median_p,0.3807408546816625
_blurred_SD1,baseline3T-cal_dv1.5T-test,q25_p,0.2642234374762415
_blurred_SD1,baseline3T-cal_dv1.5T-test,q75_p,0.5385859785695093
_blurred_SD1,baseline3T-cal_dv1.5T-test,prop_sig,0.0
_blurred_SD1,baseline3T-cal_dv1.5T-test,binom_p,1.0
_blurred_SD1,baseline3T-cal_dv1.5T-test,fisher_p,0.4798004054526537
_blurred_SD1,baseline3T-cal_dv3T-test,median_p,0.275322110549709
_blurred_SD1,baseline3T-cal_dv3T-test,q25_p,0.1247556471623531
_blurred_SD1,baseline3T-cal_dv3T-test,q75_p,0.5204542709922169
_blurred_SD1,baseline3T-cal_dv3T-test,prop_sig,0.11
_blurred_SD1,baseline3T-cal_dv3T-test,binom_p,0.0114724100674847
_blurred_SD1,baseline3T-cal_dv3T-test,fisher_p,1.1145864602601918e-05
_blurred_SD1,dv1.5T-cal_dv1.5T-test,median_p,0.5559554019787836
_blurred_SD1,dv1.5T-cal_dv1.5T-test,q25_p,0.336903333545083
_blurred_SD1,dv1.5T-cal_dv1.5T-test,q75_p,0.8108116620383478
_blurred_SD1,dv1.5T-cal_dv1.5T-test,prop_sig,0.0
_blurred_SD1,dv1.5T-cal_dv1.5T-test,binom_p,1.0
_blurred_SD1,dv1.5T-cal_dv1.5T-test,fisher_p,0.9984432002897172
_blurred_SD1,dv3T-cal_dv3T-test,median_p,0.4832882982545692
_blurred_SD1,dv3T-cal_dv3T-test,q25_p,0.3092925811905567
_blurred_SD1,dv3T-cal_dv3T-test,q75_p,0.7170888135869413
_blurred_SD1,dv3T-cal_dv3T-test,prop_sig,0.0
_blurred_SD1,dv3T-cal_dv3T-test,binom_p,1.0
_blurred_SD1,dv3T-cal_dv3T-test,fisher_p,0.9375648840758256
_blurred_SD2,baseline3T-cal_dv1.5T-test,median_p,0.0006348303431985
_blurred_SD2,baseline3T-cal_dv1.5T-test,q25_p,5.692303797705148e-05
_blurred_SD2,baseline3T-cal_dv1.5T-test,q75_p,0.0063119726436129
_blurred_SD2,baseline3T-cal_dv1.5T-test,prop_sig,0.92
_blurred_SD2,baseline3T-cal_dv1.5T-test,binom_p,2.5044759634363735e-109
_blurred_SD2,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv3T-test,median_p,0.0002483657966523
_blurred_SD2,baseline3T-cal_dv3T-test,q25_p,7.366871095299702e-06
_blurred_SD2,baseline3T-cal_dv3T-test,q75_p,0.005887727487002
_blurred_SD2,baseline3T-cal_dv3T-test,prop_sig,0.87
_blurred_SD2,baseline3T-cal_dv3T-test,binom_p,2.3773194594903176e-98
_blurred_SD2,baseline3T-cal_dv3T-test,fisher_p,0.0
_blurred_SD2,dv1.5T-cal_dv1.5T-test,median_p,0.5640507353829535
_blurred_SD2,dv1.5T-cal_dv1.5T-test,q25_p,0.35014558629323
_blurred_SD2,dv1.5T-cal_dv1.5T-test,q75_p,0.7610642179402116
_blurred_SD2,dv1.5T-cal_dv1.5T-test,prop_sig,0.01
_blurred_SD2,dv1.5T-cal_dv1.5T-test,binom_p,0.994079470779666
_blurred_SD2,dv1.5T-cal_dv1.5T-test,fisher_p,0.9986394056283072
_blurred_SD2,dv3T-cal_dv3T-test,median_p,0.4995828362872981
_blurred_SD2,dv3T-cal_dv3T-test,q25_p,0.3230752822877013
_blurred_SD2,dv3T-cal_dv3T-test,q75_p,0.735688090466425
_blurred_SD2,dv3T-cal_dv3T-test,prop_sig,0.0
_blurred_SD2,dv3T-cal_dv3T-test,binom_p,1.0
_blurred_SD2,dv3T-cal_dv3T-test,fisher_p,0.9898129543670992
_blurred_SD3,baseline3T-cal_dv1.5T-test,median_p,5.90516539689938e-19
_blurred_SD3,baseline3T-cal_dv1.5T-test,q25_p,2.4449069348474013e-23
_blurred_SD3,baseline3T-cal_dv1.5T-test,q75_p,6.238804095990569e-15
_blurred_SD3,baseline3T-cal_dv1.5T-test,prop_sig,1.0
_blurred_SD3,baseline3T-cal_dv1.5T-test,binom_p,7.888609052210162e-131
_blurred_SD3,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_blurred_SD3,baseline3T-cal_dv3T-test,median_p,3.2062406281461804e-19
_blurred_SD3,baseline3T-cal_dv3T-test,q25_p,1.0462832106462598e-24
_blurred_SD3,baseline3T-cal_dv3T-test,q75_p,2.5236146682098668e-14
_blurred_SD3,baseline3T-cal_dv3T-test,prop_sig,1.0
_blurred_SD3,baseline3T-cal_dv3T-test,binom_p,7.888609052210162e-131
_blurred_SD3,baseline3T-cal_dv3T-test,fisher_p,0.0
_blurred_SD3,dv1.5T-cal_dv1.5T-test,median_p,0.5927202252555135
_blurred_SD3,dv1.5T-cal_dv1.5T-test,q25_p,0.3929192485442929
_blurred_SD3,dv1.5T-cal_dv1.5T-test,q75_p,0.7567948673095871
_blurred_SD3,dv1.5T-cal_dv1.5T-test,prop_sig,0.0
_blurred_SD3,dv1.5T-cal_dv1.5T-test,binom_p,1.0
_blurred_SD3,dv1.5T-cal_dv1.5T-test,fisher_p,0.9999447871713456
_blurred_SD3,dv3T-cal_dv3T-test,median_p,0.5268009289308387
_blurred_SD3,dv3T-cal_dv3T-test,q25_p,0.3806996202107375
_blurred_SD3,dv3T-cal_dv3T-test,q75_p,0.7228723995437307
_blurred_SD3,dv3T-cal_dv3T-test,prop_sig,0.01
_blurred_SD3,dv3T-cal_dv3T-test,binom_p,0.994079470779666
_blurred_SD3,dv3T-cal_dv3T-test,fisher_p,0.9993124165117572
_blurred_SD4,baseline3T-cal_dv1.5T-test,median_p,1.549576068524834e-52
_blurred_SD4,baseline3T-cal_dv1.5T-test,q25_p,1.0852431243094736e-60
_blurred_SD4,baseline3T-cal_dv1.5T-test,q75_p,1.3936290005049327e-43
_blurred_SD4,baseline3T-cal_dv1.5T-test,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,median_p,3.74049033341837e-49
_blurred_SD4,baseline3T-cal_dv3T-test,q25_p,5.058300636765746e-59
_blurred_SD4,baseline3T-cal_dv3T-test,q75_p,4.273287672189861e-39
_blurred_SD4,baseline3T-cal_dv3T-test,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv3T-test,fisher_p,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,median_p,0.5837595619191683
_blurred_SD4,dv1.5T-cal_dv1.5T-test,q25_p,0.4231100330943124
_blurred_SD4,dv1.5T-cal_dv1.5T-test,q75_p,0.7212024835448044
_blurred_SD4,dv1.5T-cal_dv1.5T-test,prop_sig,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,binom_p,1.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,fisher_p,0.9999928697060974
_blurred_SD4,dv3T-cal_dv3T-test,median_p,0.5802181004930417
_blurred_SD4,dv3T-cal_dv3T-test,q25_p,0.4573265681298236
_blurred_SD4,dv3T-cal_dv3T-test,q75_p,0.7408655110113305
_blurred_SD4,dv3T-cal_dv3T-test,prop_sig,0.01
_blurred_SD4,dv3T-cal_dv3T-test,binom_p,0.994079470779666
_blurred_SD4,dv3T-cal_dv3T-test,fisher_p,0.99998622320872
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,median_p,0.0668924506531463
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,q25_p,0.0330225961399224
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,q75_p,0.1425658364045699
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,prop_sig,0.38
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,binom_p,9.356496953871759e-24
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,median_p,0.1393718343107743
_contrast_adapthisteq,baseline3T-cal_dv3T-test,q25_p,0.0438891685283287
_contrast_adapthisteq,baseline3T-cal_dv3T-test,q75_p,0.2834758739371939
