variant_test_data,cal_test,statistic,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,median_p,0.0007027311066744
_blurred_SD1,baseline3T-cal_dv1.5T-test,q25_p,1.0055856380968133e-07
_blurred_SD1,baseline3T-cal_dv1.5T-test,q75_p,0.2259422415681543
_blurred_SD1,baseline3T-cal_dv1.5T-test,prop_sig,0.65
_blurred_SD1,baseline3T-cal_dv1.5T-test,binom_p,5.071024182757454e-59
_blurred_SD1,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_blurred_SD1,baseline3T-cal_dv3T-test,median_p,3.821832880544021e-06
_blurred_SD1,baseline3T-cal_dv3T-test,q25_p,1.9732213175213972e-14
_blurred_SD1,baseline3T-cal_dv3T-test,q75_p,0.1804383878468916
_blurred_SD1,baseline3T-cal_dv3T-test,prop_sig,0.7
_blurred_SD1,baseline3T-cal_dv3T-test,binom_p,5.461396206007878e-67
_blurred_SD1,baseline3T-cal_dv3T-test,fisher_p,0.0
_blurred_SD1,dv1.5T-cal_dv1.5T-test,median_p,0.3163316219396941
_blurred_SD1,dv1.5T-cal_dv1.5T-test,q25_p,5.150427606958e-05
_blurred_SD1,dv1.5T-cal_dv1.5T-test,q75_p,0.9999624128512749
_blurred_SD1,dv1.5T-cal_dv1.5T-test,prop_sig,0.44
_blurred_SD1,dv1.5T-cal_dv1.5T-test,binom_p,1.6985333335100332e-30
_blurred_SD1,dv1.5T-cal_dv1.5T-test,fisher_p,0.0
_blurred_SD1,dv3T-cal_dv3T-test,median_p,0.0776859389257212
_blurred_SD1,dv3T-cal_dv3T-test,q25_p,4.547414144631574e-05
_blurred_SD1,dv3T-cal_dv3T-test,q75_p,0.9691796418190476
_blurred_SD1,dv3T-cal_dv3T-test,prop_sig,0.47
_blurred_SD1,dv3T-cal_dv3T-test,binom_p,4.200403202565829e-34
_blurred_SD1,dv3T-cal_dv3T-test,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv1.5T-test,median_p,2.4456758339346887e-100
_blurred_SD2,baseline3T-cal_dv1.5T-test,q25_p,3.0364102632147094e-140
_blurred_SD2,baseline3T-cal_dv1.5T-test,q75_p,3.0372134615112187e-62
_blurred_SD2,baseline3T-cal_dv1.5T-test,prop_sig,1.0
_blurred_SD2,baseline3T-cal_dv1.5T-test,binom_p,7.888609052210162e-131
_blurred_SD2,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv3T-test,median_p,1.5566183409357992e-95
_blurred_SD2,baseline3T-cal_dv3T-test,q25_p,2.470125741821652e-143
_blurred_SD2,baseline3T-cal_dv3T-test,q75_p,1.7974862034862002e-52
_blurred_SD2,baseline3T-cal_dv3T-test,prop_sig,1.0
