variant_test_data,cal_test,class,statistic,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,median_p,0.0006348221772374
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,q25_p,2.372509248469423e-10
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,q75_p,0.0283349604599836
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,prop_sig,0.8
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,binom_p,1.6102747621708613e-84
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,median_p,5.806504788046881e-57
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,q25_p,3.6755003324919217e-73
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,q75_p,9.594201594873834e-49
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,prop_sig,1.0
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,binom_p,7.888609052210162e-131
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD1,baseline3T-cal_dv3T-test,0,median_p,5.207550078460835e-07
_blurred_SD1,baseline3T-cal_dv3T-test,0,q25_p,2.461201995716301e-18
_blurred_SD1,baseline3T-cal_dv3T-test,0,q75_p,0.0013176348386217
_blurred_SD1,baseline3T-cal_dv3T-test,0,prop_sig,0.85
_blurred_SD1,baseline3T-cal_dv3T-test,0,binom_p,3.0620192489058983e-94
_blurred_SD1,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD1,baseline3T-cal_dv3T-test,1,median_p,0.4129449772339645
_blurred_SD1,baseline3T-cal_dv3T-test,1,q25_p,0.0141566910562681
_blurred_SD1,baseline3T-cal_dv3T-test,1,q75_p,0.9501290585844148
_blurred_SD1,baseline3T-cal_dv3T-test,1,prop_sig,0.28
_blurred_SD1,baseline3T-cal_dv3T-test,1,binom_p,5.3271545045797865e-14
_blurred_SD1,baseline3T-cal_dv3T-test,1,fisher_p,0.0
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,median_p,0.311132184918326
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,q25_p,0.0005130493325792
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,q75_p,0.9919927012885504
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.42
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,binom_p,3.5297506607461823e-28
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,median_p,0.2778903399831409
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,q25_p,4.385221891369565e-06
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,q75_p,0.9916105557029632
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.42
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,binom_p,3.5297506607461823e-28
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD1,dv3T-cal_dv3T-test,0,median_p,0.4589232739886321
_blurred_SD1,dv3T-cal_dv3T-test,0,q25_p,0.0005293396592405
_blurred_SD1,dv3T-cal_dv3T-test,0,q75_p,0.9951241204718144
_blurred_SD1,dv3T-cal_dv3T-test,0,prop_sig,0.35
_blurred_SD1,dv3T-cal_dv3T-test,0,binom_p,1.2548522073632051e-20
_blurred_SD1,dv3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD1,dv3T-cal_dv3T-test,1,median_p,0.2018875990223694
_blurred_SD1,dv3T-cal_dv3T-test,1,q25_p,0.0024291276754626
_blurred_SD1,dv3T-cal_dv3T-test,1,q75_p,0.9464309712680584
_blurred_SD1,dv3T-cal_dv3T-test,1,prop_sig,0.35
_blurred_SD1,dv3T-cal_dv3T-test,1,binom_p,1.2548522073632051e-20
_blurred_SD1,dv3T-cal_dv3T-test,1,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,median_p,5.9893623841129375e-164
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,q25_p,7.416978456649471e-226
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,q75_p,4.847996797866699e-145
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,prop_sig,1.0
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,binom_p,7.888609052210162e-131
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,median_p,1.5164290889997962e-42
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,q25_p,1.1366464331967534e-55
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,q75_p,8.299967042519754e-33
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,prop_sig,1.0
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,binom_p,7.888609052210162e-131
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv3T-test,0,median_p,5.082016388071066e-173
_blurred_SD2,baseline3T-cal_dv3T-test,0,q25_p,2.521611598786533e-241
_blurred_SD2,baseline3T-cal_dv3T-test,0,q75_p,3.4300084657444684e-140
_blurred_SD2,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_blurred_SD2,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_blurred_SD2,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv3T-test,1,median_p,0.2862081225484946
_blurred_SD2,baseline3T-cal_dv3T-test,1,q25_p,0.0003504090390946
_blurred_SD2,baseline3T-cal_dv3T-test,1,q75_p,0.9395632825850964
_blurred_SD2,baseline3T-cal_dv3T-test,1,prop_sig,0.34
_blurred_SD2,baseline3T-cal_dv3T-test,1,binom_p,1.2702149390600738e-19
_blurred_SD2,baseline3T-cal_dv3T-test,1,fisher_p,0.0
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,median_p,0.3054224003507186
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,q25_p,6.945492431000675e-05
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,q75_p,0.982520733788201
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.42
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,binom_p,3.5297506607461823e-28
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,median_p,0.5239657382997949
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,q25_p,3.931825845908147e-06
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,q75_p,0.978869834984342
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.42
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,binom_p,3.5297506607461823e-28
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD2,dv3T-cal_dv3T-test,0,median_p,0.2544471565903797
_blurred_SD2,dv3T-cal_dv3T-test,0,q25_p,0.0008235991600407
_blurred_SD2,dv3T-cal_dv3T-test,0,q75_p,0.9606882259943575
_blurred_SD2,dv3T-cal_dv3T-test,0,prop_sig,0.37
_blurred_SD2,dv3T-cal_dv3T-test,0,binom_p,1.0764600283749784e-22
_blurred_SD2,dv3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD2,dv3T-cal_dv3T-test,1,median_p,0.2532266228595677
_blurred_SD2,dv3T-cal_dv3T-test,1,q25_p,0.0072351547212853
_blurred_SD2,dv3T-cal_dv3T-test,1,q75_p,0.9491017240156172
_blurred_SD2,dv3T-cal_dv3T-test,1,prop_sig,0.39
_blurred_SD2,dv3T-cal_dv3T-test,1,binom_p,7.7998882275203905e-25
_blurred_SD2,dv3T-cal_dv3T-test,1,fisher_p,0.0
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,median_p,0.0
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,q25_p,0.0
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,q75_p,0.0
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,prop_sig,1.0
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,binom_p,7.888609052210162e-131
_blurred_SD3,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,median_p,6.174391504299479e-22
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,q25_p,2.5747665476598293e-34
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,q75_p,8.47143729047887e-11
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,prop_sig,0.99
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,binom_p,1.499624580825152e-127
_blurred_SD3,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD3,baseline3T-cal_dv3T-test,0,median_p,0.0
_blurred_SD3,baseline3T-cal_dv3T-test,0,q25_p,0.0
_blurred_SD3,baseline3T-cal_dv3T-test,0,q75_p,0.0
_blurred_SD3,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_blurred_SD3,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_blurred_SD3,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD3,baseline3T-cal_dv3T-test,1,median_p,0.7431567745370262
_blurred_SD3,baseline3T-cal_dv3T-test,1,q25_p,0.0009481268988064
_blurred_SD3,baseline3T-cal_dv3T-test,1,q75_p,1.0
_blurred_SD3,baseline3T-cal_dv3T-test,1,prop_sig,0.29
_blurred_SD3,baseline3T-cal_dv3T-test,1,binom_p,6.913335547011718e-15
_blurred_SD3,baseline3T-cal_dv3T-test,1,fisher_p,0.0
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,median_p,0.3988655160431537
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,q25_p,0.0053402971464042
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,q75_p,0.9942949436214926
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.35
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,binom_p,1.2548522073632051e-20
_blurred_SD3,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,median_p,0.2337114842759865
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,q25_p,9.951304606910977e-08
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,q75_p,0.9896511557868464
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.44
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,binom_p,1.6985333335100332e-30
_blurred_SD3,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD3,dv3T-cal_dv3T-test,0,median_p,0.3519837533163845
_blurred_SD3,dv3T-cal_dv3T-test,0,q25_p,0.0084641645987905
_blurred_SD3,dv3T-cal_dv3T-test,0,q75_p,0.9886326477317976
_blurred_SD3,dv3T-cal_dv3T-test,0,prop_sig,0.35
_blurred_SD3,dv3T-cal_dv3T-test,0,binom_p,1.2548522073632051e-20
_blurred_SD3,dv3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD3,dv3T-cal_dv3T-test,1,median_p,0.260296608132789
_blurred_SD3,dv3T-cal_dv3T-test,1,q25_p,0.0034031293681397
_blurred_SD3,dv3T-cal_dv3T-test,1,q75_p,0.9783421170451078
_blurred_SD3,dv3T-cal_dv3T-test,1,prop_sig,0.37
_blurred_SD3,dv3T-cal_dv3T-test,1,binom_p,1.0764600283749784e-22
_blurred_SD3,dv3T-cal_dv3T-test,1,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,median_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,q25_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,q75_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,median_p,0.0014544412748753
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,q25_p,7.904471680630627e-12
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,q75_p,0.8618760499661032
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,prop_sig,0.58
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,binom_p,1.1813087972716542e-48
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,median_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,q25_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,q75_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,1,median_p,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,1,q25_p,0.9998845056417311
_blurred_SD4,baseline3T-cal_dv3T-test,1,q75_p,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,1,prop_sig,0.21
_blurred_SD4,baseline3T-cal_dv3T-test,1,binom_p,2.0810607711067183e-08
_blurred_SD4,baseline3T-cal_dv3T-test,1,fisher_p,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,median_p,0.2585918543626861
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,q25_p,0.0039703094925735
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,q75_p,0.9923545510312458
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.38
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,binom_p,9.356496953871759e-24
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,median_p,0.2438586954074529
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,q25_p,2.160866343421441e-05
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,q75_p,0.9928378205030248
