class_conditional,variant_test_data,cal_test,class,is_correct,verdict,ps_size,confidence,credibility,margin,actual_class_pred_prob,prop_class1,runs_count
True,blurred_SD1,baseline3T-cal_dv1.5T-test,0,0.9912421976346318,0.8718296920926099,0.8902475290582015,0.9961389961389961,0.43075441270715914,0.4266297192665303,0.9986317753791809,0.06842105263157895,100
True,blurred_SD1,baseline3T-cal_dv1.5T-test,1,0.32126468071867464,0.3643410852713178,0.870035778175313,0.9961389961389961,0.37876612527950604,0.3776244884117306,0.022604424506425858,0.06842105263157895,100
True,blurred_SD1,baseline3T-cal_dv3T-test,0,0.9824229313142239,0.8495990756860732,0.8801807264263501,0.9961389961389961,0.36867175613380004,0.3636151078761768,0.9979479014873505,0.15,100
True,blurred_SD1,baseline3T-cal_dv3T-test,1,0.8452034883720929,0.8928571428571428,0.9155379504216714,0.99933598937583,0.47828906943401384,0.4775532015913655,0.9514799416065216,0.15,100
True,blurred_SD1,dv1.5T-cal_dv1.5T-test,0,0.9912831641008844,0.8958737469947824,1.6678072222201776,0.8224416613144937,0.5781181285099788,0.44537502326447054,0.9986350834369659,0.06842105263157895,100
True,blurred_SD1,dv1.5T-cal_dv1.5T-test,1,0.3242894056847545,0.876046511627907,1.382325581395349,0.9536095508640541,0.7277159168916453,0.6645206053289378,0.02251692023128271,0.06842105263157895,100
True,blurred_SD1,dv3T-cal_dv3T-test,0,0.9824229313142239,0.8989433972219657,0.9315910030859289,0.9961389961389961,0.5038734667527437,0.49955405196663916,0.9979479014873505,0.15,100
True,blurred_SD1,dv3T-cal_dv3T-test,1,0.8452034883720929,0.8791528239202657,0.9251709986320109,0.99933598937583,0.47251545517441473,0.4718388244401745,0.9514799416065216,0.15,100
True,blurred_SD2,baseline3T-cal_dv1.5T-test,0,0.9497661242506095,0.5714317130134388,0.6705813120742588,0.9953703703703703,0.14953491121032197,0.14386065718533664,0.9818319380283356,0.06842105263157895,100
True,blurred_SD2,baseline3T-cal_dv1.5T-test,1,0.3943798449612403,0.4462126245847176,0.8009838998211092,0.9961389961389961,0.2547796035472092,0.2516903377587687,0.13868394494056702,0.06842105263157895,100
True,blurred_SD2,baseline3T-cal_dv3T-test,0,0.9492734944819949,0.5162440746985653,0.6211027857231688,0.9942196531791907,0.13203812805406429,0.1199212394465329,0.9742951095104218,0.15,100
True,blurred_SD2,baseline3T-cal_dv3T-test,1,0.8102228682170542,0.886157253599114,0.8925802879291251,0.9993262311882567,0.4138895869984083,0.41324201310119657,0.9231807589530945,0.15,100
True,blurred_SD2,dv1.5T-cal_dv1.5T-test,0,0.9498853586636096,0.895807959797986,1.7486610949709058,0.7963393375944219,0.597886855891782,0.4608275953394403,0.9818310141563416,0.06842105263157895,100
True,blurred_SD2,dv1.5T-cal_dv1.5T-test,1,0.396640826873385,0.8986046511627908,1.4194991055456172,0.9444961337733345,0.7201178451178452,0.6591956963944092,0.14118605852127075,0.06842105263157895,100
True,blurred_SD2,dv3T-cal_dv3T-test,0,0.9492734944819949,0.8937851939044952,0.9921117933382114,0.9948453608247423,0.5040901596969127,0.4992312630705772,0.9742951095104218,0.15,100
True,blurred_SD2,dv3T-cal_dv3T-test,1,0.8102228682170542,0.8812984496124031,0.9968992248062015,0.9967721110393802,0.4675477548520461,0.46081139752904454,0.9231807589530945,0.15,100
