variant_test_data,cal_test,run,n_cov,n_val,coverage,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,14535,16340,0.8895348837209303,0.0864968247014565
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,14820,16340,0.9069767441860465,0.8322035729741541
_blurred_SD1,baseline3T-cal_dv1.5T-test,2,14270,16340,0.8733170134638923,0.00040604040943684763
_blurred_SD1,baseline3T-cal_dv1.5T-test,3,14585,16340,0.892594859241126,0.16593217197381793
_blurred_SD1,baseline3T-cal_dv1.5T-test,4,13847,16340,0.8474296205630355,1.9702073194497754e-10
_blurred_SD1,baseline3T-cal_dv1.5T-test,5,13986,16340,0.8559363525091799,4.875746832716682e-08
_blurred_SD1,baseline3T-cal_dv1.5T-test,6,13464,16340,0.8239902080783353,1.9874837238196867e-18
_blurred_SD1,baseline3T-cal_dv1.5T-test,7,14603,16340,0.8936964504283966,0.2039405823264031
_blurred_SD1,baseline3T-cal_dv1.5T-test,8,14373,16340,0.8796205630354957,0.004741497291805732
_blurred_SD1,baseline3T-cal_dv1.5T-test,9,14203,16340,0.8692166462668298,6.441274274333672e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,10,14762,16340,0.9034271725826193,0.6811463176460241
_blurred_SD1,baseline3T-cal_dv1.5T-test,11,15169,16340,0.9283353733170134,0.9999855569461238
_blurred_SD1,baseline3T-cal_dv1.5T-test,12,14335,16340,0.8772949816401469,0.0020206619438862187
_blurred_SD1,baseline3T-cal_dv1.5T-test,13,14688,16340,0.8988984088127295,0.4434725541663106
_blurred_SD1,baseline3T-cal_dv1.5T-test,14,14522,16340,0.8887392900856793,0.07164436116961705
_blurred_SD1,baseline3T-cal_dv1.5T-test,15,14663,16340,0.8973684210526316,0.3647520530520562
_blurred_SD1,baseline3T-cal_dv1.5T-test,16,14378,16340,0.8799265605875153,0.005279426973865497
_blurred_SD1,baseline3T-cal_dv1.5T-test,17,14337,16340,0.8774173806609548,0.002116790378097744
_blurred_SD1,baseline3T-cal_dv1.5T-test,18,14687,16340,0.8988372093023256,0.44024485047139206
_blurred_SD1,baseline3T-cal_dv1.5T-test,19,13530,16340,0.8280293757649939,6.491175438677616e-17
_blurred_SD1,baseline3T-cal_dv1.5T-test,20,13958,16340,0.8542227662178703,1.6965169383079707e-08
_blurred_SD1,baseline3T-cal_dv1.5T-test,21,14103,16340,0.8630966952264382,2.940909313600033e-06
_blurred_SD1,baseline3T-cal_dv1.5T-test,22,15045,16340,0.9207466340269278,0.9985648431582235
_blurred_SD1,baseline3T-cal_dv1.5T-test,23,14838,16340,0.9080783353733171,0.8681671587356765
_blurred_SD1,baseline3T-cal_dv1.5T-test,24,14010,16340,0.857405140758874,1.1782559563718616e-07
_blurred_SD1,baseline3T-cal_dv1.5T-test,25,14545,16340,0.8901468788249693,0.09945259003190733
_blurred_SD1,baseline3T-cal_dv1.5T-test,26,13585,16340,0.8313953488372093,1.0775947713787259e-15
