variant_test_data,cal_test,run,class,n_cov,n_val,coverage,n_cal_cls,n_test_cls,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,0,13955,15265,0.9141827710448739,1505,15265,0.9672160895754258
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,1,317,1075,0.2948837209302326,301,1075,4.468074397294744e-84
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,0,13649,15222,0.8966627250032847,1548,15222,0.3359010070902547
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,1,445,1118,0.39803220035778175,258,1118,7.823525914880502e-54
_blurred_SD1,baseline3T-cal_dv1.5T-test,2,0,13581,15265,0.8896822797248608,1591,15265,0.11026303413253455
_blurred_SD1,baseline3T-cal_dv1.5T-test,2,1,332,1075,0.30883720930232555,215,1075,6.093252515663264e-62
_blurred_SD1,baseline3T-cal_dv1.5T-test,3,0,13385,15308,0.8743794094591063,1462,15308,0.0019534163326599407
_blurred_SD1,baseline3T-cal_dv1.5T-test,3,1,320,1032,0.31007751937984496,344,1032,3.7097760362209363e-88
_blurred_SD1,baseline3T-cal_dv1.5T-test,4,0,12665,15179,0.8343764411357797,1634,15179,2.116742155017231e-13
_blurred_SD1,baseline3T-cal_dv1.5T-test,4,1,356,1161,0.3066322136089578,172,1161,3.888426559015753e-52
_blurred_SD1,baseline3T-cal_dv1.5T-test,5,0,12374,15265,0.8106125122830004,1548,15265,7.06483339260408e-21
_blurred_SD1,baseline3T-cal_dv1.5T-test,5,1,421,1075,0.3916279069767442,258,1075,1.1174526795877587e-54
_blurred_SD1,baseline3T-cal_dv1.5T-test,6,0,12504,15136,0.8261099365750528,1634,15136,4.233321518413439e-16
_blurred_SD1,baseline3T-cal_dv1.5T-test,6,1,483,1204,0.4011627906976744,172,1204,4.851575547691911e-38
_blurred_SD1,baseline3T-cal_dv1.5T-test,7,0,13653,15222,0.8969255025620811,1634,15222,0.3560045337332423
_blurred_SD1,baseline3T-cal_dv1.5T-test,7,1,475,1118,0.42486583184257604,172,1118,1.10073045841118e-34
_blurred_SD1,baseline3T-cal_dv1.5T-test,8,0,13355,15222,0.8773485744317435,1548,15222,0.003669467346459532
_blurred_SD1,baseline3T-cal_dv1.5T-test,8,1,372,1118,0.33273703041144903,258,1118,4.6147088175717653e-67
_blurred_SD1,baseline3T-cal_dv1.5T-test,9,0,13287,15265,0.8704225352112676,1548,15265,0.00028745617432241084
_blurred_SD1,baseline3T-cal_dv1.5T-test,9,1,367,1075,0.3413953488372093,258,1075,9.811037817163451e-65
_blurred_SD1,baseline3T-cal_dv1.5T-test,10,0,12880,15222,0.8461437393246617,1548,15222,1.2930609757366087e-09
_blurred_SD1,baseline3T-cal_dv1.5T-test,10,1,422,1118,0.3774597495527728,258,1118,9.025763311406261e-58
_blurred_SD1,baseline3T-cal_dv1.5T-test,11,0,13439,15265,0.8803799541434655,1548,15265,0.009624126277449033
_blurred_SD1,baseline3T-cal_dv1.5T-test,11,1,421,1075,0.3916279069767442,258,1075,1.1174526795877587e-54
_blurred_SD1,baseline3T-cal_dv1.5T-test,12,0,12700,15222,0.8343187491788201,1548,15222,5.954873171242037e-13
_blurred_SD1,baseline3T-cal_dv1.5T-test,12,1,444,1118,0.39713774597495527,258,1118,5.323880372585928e-54
_blurred_SD1,baseline3T-cal_dv1.5T-test,13,0,13751,15394,0.8932701052358062,1548,15394,0.20140606291391025
_blurred_SD1,baseline3T-cal_dv1.5T-test,13,1,375,946,0.3964059196617336,258,946,1.4101105183901769e-52
_blurred_SD1,baseline3T-cal_dv1.5T-test,14,0,13587,15179,0.895118255484551,1505,15179,0.2808122166344083
_blurred_SD1,baseline3T-cal_dv1.5T-test,14,1,423,1161,0.3643410852713178,301,1161,6.150540419443072e-68
_blurred_SD1,baseline3T-cal_dv1.5T-test,15,0,13567,15351,0.8837860725685623,1591,15351,0.02729047393425412
_blurred_SD1,baseline3T-cal_dv1.5T-test,15,1,387,989,0.391304347826087,215,989,1.924905463433091e-46
_blurred_SD1,baseline3T-cal_dv1.5T-test,16,0,13264,15222,0.8713703849691237,1462,15222,0.0006730196122943239
_blurred_SD1,baseline3T-cal_dv1.5T-test,16,1,355,1118,0.31753130590339895,344,1118,1.249454477994753e-87
_blurred_SD1,baseline3T-cal_dv1.5T-test,17,0,13364,15222,0.8779398239390356,1419,15222,0.005829313501051574
_blurred_SD1,baseline3T-cal_dv1.5T-test,17,1,322,1118,0.2880143112701252,387,1118,1.6428971182859373e-105
_blurred_SD1,baseline3T-cal_dv1.5T-test,18,0,13427,15222,0.8820785704900801,1591,15222,0.017024486225928365
_blurred_SD1,baseline3T-cal_dv1.5T-test,18,1,464,1118,0.4150268336314848,215,1118,1.5600915857533421e-43
_blurred_SD1,baseline3T-cal_dv1.5T-test,19,0,13507,15265,0.8848345889289224,1720,15265,0.03146842003717238
_blurred_SD1,baseline3T-cal_dv1.5T-test,19,1,59,1075,0.05488372093023256,86,1075,1.521929755493624e-73
_blurred_SD1,baseline3T-cal_dv1.5T-test,20,0,12023,15308,0.7854063234909852,1505,15308,4.875022768128246e-30
_blurred_SD1,baseline3T-cal_dv1.5T-test,20,1,305,1032,0.29554263565891475,301,1032,3.521045104101958e-83
_blurred_SD1,baseline3T-cal_dv1.5T-test,21,0,13280,15265,0.8699639698657059,1720,15265,0.0001567852865925307
_blurred_SD1,baseline3T-cal_dv1.5T-test,21,1,413,1075,0.3841860465116279,86,1075,1.8446415698591504e-22
_blurred_SD1,baseline3T-cal_dv1.5T-test,22,0,13376,15179,0.8812174715066868,1505,15179,0.014160932795434001
_blurred_SD1,baseline3T-cal_dv1.5T-test,22,1,483,1161,0.4160206718346253,301,1161,8.590395001645068e-57
_blurred_SD1,baseline3T-cal_dv1.5T-test,23,0,13242,15265,0.8674746151326564,1419,15265,0.00014558880498543496
_blurred_SD1,baseline3T-cal_dv1.5T-test,23,1,413,1075,0.3841860465116279,387,1075,2.1950485156669267e-76
_blurred_SD1,baseline3T-cal_dv1.5T-test,24,0,12820,15179,0.8445879175176231,1591,15179,4.306958406599269e-10
_blurred_SD1,baseline3T-cal_dv1.5T-test,24,1,412,1161,0.35486649440137813,215,1161,7.883960755711537e-54
_blurred_SD1,baseline3T-cal_dv1.5T-test,25,0,13344,15179,0.8791092957375322,1505,15179,0.007589548857707781
_blurred_SD1,baseline3T-cal_dv1.5T-test,25,1,522,1161,0.4496124031007752,301,1161,3.071795715959571e-50
_blurred_SD1,baseline3T-cal_dv1.5T-test,26,0,12835,15265,0.840812315754995,1677,15265,9.480823848573226e-12
_blurred_SD1,baseline3T-cal_dv1.5T-test,26,1,345,1075,0.3209302325581395,129,1075,2.00460756847044e-39
_blurred_SD1,baseline3T-cal_dv1.5T-test,27,0,13487,15179,0.8885302062059425,1634,15179,0.08026319217844473
_blurred_SD1,baseline3T-cal_dv1.5T-test,27,1,455,1161,0.39190353143841516,172,1161,3.95097283354334e-39
_blurred_SD1,baseline3T-cal_dv1.5T-test,28,0,14237,15265,0.9326564035375041,1548,15265,0.9999972024514377
_blurred_SD1,baseline3T-cal_dv1.5T-test,28,1,387,1075,0.36,258,1075,7.318271399235961e-61
_blurred_SD1,baseline3T-cal_dv1.5T-test,29,0,12746,15179,0.8397127610514526,1419,15179,1.173167352964286e-10
_blurred_SD1,baseline3T-cal_dv1.5T-test,29,1,452,1161,0.38931955211024977,387,1161,2.275374529810128e-76
_blurred_SD1,baseline3T-cal_dv1.5T-test,30,0,13198,15179,0.8694907437907635,1591,15179,0.00020506654897891875
_blurred_SD1,baseline3T-cal_dv1.5T-test,30,1,304,1161,0.26184323858742464,215,1161,5.1093723897012185e-73
_blurred_SD1,baseline3T-cal_dv1.5T-test,31,0,13666,15222,0.8977795296281698,1419,15222,0.38792678984583945
_blurred_SD1,baseline3T-cal_dv1.5T-test,31,1,450,1118,0.40250447227191416,387,1118,2.3117119262533786e-72
_blurred_SD1,baseline3T-cal_dv1.5T-test,32,0,13452,15308,0.8787562059054089,1634,15308,0.0053000654236783585
_blurred_SD1,baseline3T-cal_dv1.5T-test,32,1,460,1032,0.44573643410852715,172,1032,7.473603558935516e-32
_blurred_SD1,baseline3T-cal_dv1.5T-test,33,0,13657,15222,0.8971882801208777,1505,15222,0.37054812259401265
_blurred_SD1,baseline3T-cal_dv1.5T-test,33,1,456,1118,0.407871198568873,301,1118,4.62678912755536e-58
_blurred_SD1,baseline3T-cal_dv1.5T-test,34,0,13023,15222,0.8555380370516358,1505,15222,4.274307022136803e-07
_blurred_SD1,baseline3T-cal_dv1.5T-test,34,1,387,1118,0.34615384615384615,301,1118,1.0861094962906902e-71
_blurred_SD1,baseline3T-cal_dv1.5T-test,35,0,13459,15222,0.884180790960452,1505,15222,0.03155384539436534
_blurred_SD1,baseline3T-cal_dv1.5T-test,35,1,454,1118,0.40608228980322003,301,1118,1.9857969219320943e-58
_blurred_SD1,baseline3T-cal_dv1.5T-test,36,0,12592,15222,0.8272237550913152,1591,15222,2.5687024281480446e-15
_blurred_SD1,baseline3T-cal_dv1.5T-test,36,1,415,1118,0.37119856887298747,215,1118,1.1396819858001263e-50
_blurred_SD1,baseline3T-cal_dv1.5T-test,37,0,12810,15308,0.836817350405017,1591,15308,2.5527218262233616e-12
_blurred_SD1,baseline3T-cal_dv1.5T-test,37,1,376,1032,0.3643410852713178,215,1032,3.074112940366914e-51
_blurred_SD1,baseline3T-cal_dv1.5T-test,38,0,13257,15308,0.8660177684870656,1505,15308,6.068010025291364e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,38,1,472,1032,0.4573643410852713,301,1032,9.137197606396308e-48
_blurred_SD1,baseline3T-cal_dv1.5T-test,39,0,13364,15222,0.8779398239390356,1677,15222,0.003433577236066707
_blurred_SD1,baseline3T-cal_dv1.5T-test,39,1,553,1118,0.49463327370304117,129,1118,1.3544678139779782e-21
_blurred_SD1,baseline3T-cal_dv1.5T-test,40,0,12592,15179,0.8295671651623954,1462,15179,1.2919137249203833e-13
_blurred_SD1,baseline3T-cal_dv1.5T-test,40,1,344,1161,0.2962962962962963,344,1161,1.3394075742532835e-94
