variant_test_data,cal_test,class,statistic,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,median_p,0.307195002784831
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,q25_p,0.1667525445836739
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,q75_p,0.3903905735798536
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,prop_sig,0.02
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,binom_p,0.962918790672645
_blurred_SD1,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0001297113679921
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,median_p,0.0033003389295509
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,q25_p,0.0007448681039323
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,q75_p,0.0091079394162993
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,prop_sig,0.96
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,binom_p,4.0399843007513144e-119
_blurred_SD1,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD1,baseline3T-cal_dv3T-test,0,median_p,0.1977776436333781
_blurred_SD1,baseline3T-cal_dv3T-test,0,q25_p,0.0629095318282486
_blurred_SD1,baseline3T-cal_dv3T-test,0,q75_p,0.2889185184718666
_blurred_SD1,baseline3T-cal_dv3T-test,0,prop_sig,0.2
_blurred_SD1,baseline3T-cal_dv3T-test,0,binom_p,1.0522953420147289e-07
_blurred_SD1,baseline3T-cal_dv3T-test,0,fisher_p,3.3306690738754696e-16
_blurred_SD1,baseline3T-cal_dv3T-test,1,median_p,0.5412644368114264
_blurred_SD1,baseline3T-cal_dv3T-test,1,q25_p,0.344656105967936
_blurred_SD1,baseline3T-cal_dv3T-test,1,q75_p,0.7065626250657671
_blurred_SD1,baseline3T-cal_dv3T-test,1,prop_sig,0.03
_blurred_SD1,baseline3T-cal_dv3T-test,1,binom_p,0.8817370188148796
_blurred_SD1,baseline3T-cal_dv3T-test,1,fisher_p,0.9504285265036116
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,median_p,0.4682211925474231
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,q25_p,0.2913880423340281
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,q75_p,0.6722333090987433
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.01
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,binom_p,0.994079470779666
_blurred_SD1,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.8823548421462412
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,median_p,0.666625877925825
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,q25_p,0.405517161149084
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,q75_p,0.8803686678917766
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.05
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,binom_p,0.5640186993142899
_blurred_SD1,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.9990121603430048
_blurred_SD1,dv3T-cal_dv3T-test,0,median_p,0.5141411668083735
_blurred_SD1,dv3T-cal_dv3T-test,0,q25_p,0.2957034340731052
_blurred_SD1,dv3T-cal_dv3T-test,0,q75_p,0.6943955410975293
_blurred_SD1,dv3T-cal_dv3T-test,0,prop_sig,0.0
_blurred_SD1,dv3T-cal_dv3T-test,0,binom_p,1.0
_blurred_SD1,dv3T-cal_dv3T-test,0,fisher_p,0.922940706354999
_blurred_SD1,dv3T-cal_dv3T-test,1,median_p,0.5039605905556857
_blurred_SD1,dv3T-cal_dv3T-test,1,q25_p,0.3460486558910389
_blurred_SD1,dv3T-cal_dv3T-test,1,q75_p,0.7073748231041813
_blurred_SD1,dv3T-cal_dv3T-test,1,prop_sig,0.03
_blurred_SD1,dv3T-cal_dv3T-test,1,binom_p,0.8817370188148796
_blurred_SD1,dv3T-cal_dv3T-test,1,fisher_p,0.8831663143809443
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,median_p,5.206968971573732e-06
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,q25_p,1.6945043789108138e-07
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,q75_p,2.5822606610310903e-05
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,prop_sig,1.0
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,binom_p,7.888609052210162e-131
_blurred_SD2,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,median_p,0.0111821380746446
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,q25_p,0.0025545838915704
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,q75_p,0.0231444245471695
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,prop_sig,0.87
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,binom_p,2.3773194594903176e-98
_blurred_SD2,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv3T-test,0,median_p,2.848282255473412e-07
_blurred_SD2,baseline3T-cal_dv3T-test,0,q25_p,1.7310185567998027e-09
_blurred_SD2,baseline3T-cal_dv3T-test,0,q75_p,3.4586842981111155e-06
_blurred_SD2,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_blurred_SD2,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_blurred_SD2,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD2,baseline3T-cal_dv3T-test,1,median_p,0.5096084847017166
_blurred_SD2,baseline3T-cal_dv3T-test,1,q25_p,0.2893219963892429
_blurred_SD2,baseline3T-cal_dv3T-test,1,q75_p,0.7048170561229812
_blurred_SD2,baseline3T-cal_dv3T-test,1,prop_sig,0.04
_blurred_SD2,baseline3T-cal_dv3T-test,1,binom_p,0.7421613408839848
_blurred_SD2,baseline3T-cal_dv3T-test,1,fisher_p,0.638822904733918
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,median_p,0.4538311205109848
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,q25_p,0.2999588696225981
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,q75_p,0.6454100496338783
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.0
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,binom_p,1.0
_blurred_SD2,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.8858851748046244
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,median_p,0.6503649530708908
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,q25_p,0.3882135428258025
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,q75_p,0.8879506907143782
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.02
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,binom_p,0.962918790672645
_blurred_SD2,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.9997445010992444
